~, Name, Weight, Cost, Tier, Sleepiness, Thirst, Alcohol, Health change, Limb duration, First-Aid head, First-Aid torso, First-Aid arm, First-Aid leg, Post-Heal Head, Post-Heal Torso, Post-Heal Arm, Post-Heal Leg, Ballistic Res, Rupture Res, Burn Res, Electrical Res, Chemical Res, Radiation Res, Psychic Res, Impact Res, Explosive Res, Satiety, Uses, Duration, Health restoration, Total health restoration, Wound healing, Total wound healing, Radiation restoration, Total radiation restoration, Stamina Recovery, Total stamina recovery, Radiation Res, Chemical Res, Psychic Res, Weight Carried, Used in crafting, Can be crafted
stimpack_scientic,Scientific Stimpack,0.1,6000,5,1%,1%,0%,0%,60,6,9,4,4,4,4,1,1,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,15,10%,150%,0,0,69,1035,0%,0%,0%,0%,0%,0,N,Y
adrenalin,Epinephrine Shot,0.052,6520,5,-23%,3%,-100%,-1.2%,60,10,10,5,5,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,31%,1,2184,0%,0%,0,0,0,0,6.29%,13737%,0%,0%,0%,22.294,N,Y
antibio_sulfad,Sulfadimethoxine,0.04,933,3,0%,0%,3%,-1.55%,0,0,0,0,0,0,0,0,1,0%,0%,0%,0%,0%,0%,0%,0%,0%,-6%,3,899,0%,0%,0,0,0,0,0%,0%,7%,3%,0%,0,Y,N
drug_radioprotector,Radioprotectant,0.009,1250,4,1%,1%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-4%,2,500,0%,0%,0,0,0,0,0%,0%,14%,0%,0%,0,Y,Y
antibio_chlor,Chlortetracycline,0.04,521,2,0%,0%,3%,0%,0,0,0,0,0,0,0,1,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,899,0%,0%,0,0,0,0,0%,0%,4%,11%,0%,0,Y,N
antiemetic,Etperazine,0.04,678,4,0%,0%,-4%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3,143,0%,0%,0,0,0,0,0%,0%,0%,0%,10%,0,Y,N
drug_antidot,Antidote,0.01,3360,4,1%,3%,0%,0%,0,0,0,0,0,3,3,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-6%,3,296,0%,0%,0,0,0,0,0%,0%,0%,4%,0%,0,Y,Y
joint,Cannabis Joint,0.001,380,2,2%,2%,-4%,-0.4%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-8%,1,420,0%,0%,0,0,0,0,0%,0%,0%,0%,4%,0,Y,Y
drug_coagulant,Vinca,0.011,3350,4,0%,3%,0%,0%,0,0,0,0,0,0,4,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-17%,5,438,0%,0%,0.063,27.594,0,0,0%,0%,0%,0%,0%,0,Y,N
cocaine,Cocaine,0.011,3500,5,-16%,3%,-53%,-5.7%,60,3,3,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,21%,1,1644,0%,0%,0,0,0,0,4.42%,7266%,0%,0%,0%,12.645,Y,Y
drug_booster,Hercules,0.18,1750,3,-1%,0%,-44%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,23%,1,548,0%,0%,0,0,0,0,2.8%,1534%,0%,0%,0%,6.123,Y,Y
akvatab,Ibuprofen,0.007,4524,4,1%,3%,10%,0%,0,0,0,0,0,0,0,4,4,0%,0%,0%,0%,0%,0%,0%,0%,0%,-13%,3,36,0.4%,14%,0,0,0,0,0%,0%,0%,0%,0%,0,Y,Y
medkit_army,Army Medkit,0.5,4500,4,0%,1%,0%,0%,60,7,7,3,3,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,33.4,5%,167%,0.75,25.05,0,0,4%,133%,0%,0%,0%,0,Y,Y
glucose_s,Glucose Shot,0.0134,1440,2,2%,1%,-11%,-0.9%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,17%,1,120,0%,0%,0,0,0,0,0.8%,96%,0%,0%,0%,0,Y,Y
antirad,Anti-radiation Drugs,0.05,2700,3,1%,3%,0%,-2%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-35%,1,10,0%,0%,0,0,185,1850,0%,0%,0%,0%,0%,0,N,Y
salicidic_acid,Metamizole Ampoule,0.076,1600,4,0%,0%,0%,10%,60,2,2,2,2,0,0,0,0,8%,8%,0%,0%,0%,0%,0%,8%,8%,0%,1,300,0%,0%,0,0,0,0,0%,0%,0%,0%,0%,0,Y,Y
jgut,Tourniquet,0.02,2100,2,0%,0%,0%,0%,60,0,5,5,5,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-10%,1,10,0%,0%,7.5,75,0,0,0%,0%,0%,0%,0%,0,N,Y
yadylin,Yadulin,0.01,985,2,2%,0%,45%,0%,0,0,0,0,0,4,4,2,2,0%,0%,0%,0%,0%,0%,0%,0%,0%,-10%,1,262.6,0.2%,52%,0,0,0,0,0%,0%,0%,0%,0%,0,Y,Y
stimpack_army,Military Stimpack,0.1,5000,4,1%,1%,0%,0%,60,5,7,3,3,2,2,1,1,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,15,10%,150%,0,0,0,0,0%,0%,0%,0%,0%,0,Y,Y
caffeine,Caffeine Tablets,0.011,2550,2,-3%,3%,-17%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,5,266,0%,0%,0,0,0,0,0.8%,212%,0%,0%,0%,2.653,Y,N
bandage,Bandage,0.038,950,1,0%,0%,1%,0%,40,0,3,3,3,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-3%,1,25,0%,0%,0.6,15,0,0,0%,0%,0%,0%,0%,0,Y,Y
medkit,AI-2 Medkit,0.5,2500,2,0%,1%,0%,0%,60,5,5,2,2,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,33.4,3%,100%,0,0,15,501,0%,0%,0%,0%,0%,0,Y,Y
rebirth,Axyltallisal "The Rebirth",0.076,12000,5,-1%,0%,53%,0%,60,11,11,5,5,8,8,5,5,0%,0%,0%,0%,0%,0%,0%,0%,0%,46%,1,8.5,37.6%,319%,0,0,566,4811,0%,0%,0%,0%,0%,0,N,Y
drug_anabiotic,Anabiotics,0.012,3500,5,0%,3%,0%,0%,0,0,0,0,0,11,11,11,11,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,0,0%,0%,0,0,0,0,0%,0%,0%,0%,0%,0,N,Y
medkit_scientic,Scientific Medkit,0.5,6500,4,0%,1%,0%,0%,60,9,9,4,4,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,33.4,5%,167%,0.75,25.05,46,1536,0%,0%,9%,0%,2%,0,Y,Y
tetanus,Fentanyl,0.046,1940,3,1%,1%,10%,-0.9%,0,0,0,0,0,3,3,3,3,0%,0%,0%,0%,0%,0%,0%,0%,0%,-13%,1,434,0.102%,44%,0,0,0,0,0%,0%,0%,0%,0%,0,Y,Y
analgetic,Diclofenac Sodium,0.076,1100,2,0%,0%,0%,5%,60,4,4,2,2,0,0,0,0,4%,4%,0%,0%,0%,0%,0%,4%,4%,0%,1,300,0%,0%,0,0,0,0,0%,0%,0%,0%,0%,0,Y,Y
glucose,Large Glucose Shot,0.021,2760,3,3%,1%,-38%,-0.9%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,39%,1,120,0%,0%,0,0,0,0,1.8%,216%,0%,0%,0%,0,N,Y
morphine,Morphine Ampoule,0.074,2000,5,0%,0%,0%,15%,60,8,5,4,4,0,0,0,0,12%,12%,0%,0%,0%,0%,0%,12%,12%,0%,1,300,0%,0%,0,0,0,0,0%,0%,0%,0%,0%,0,Y,Y
survival_kit,Survival Kit,0.18,7500,5,0%,1%,0%,0%,60,0,11,3,3,5,5,3,3,0%,0%,0%,0%,0%,0%,0%,0%,0%,34%,1,45,6%,270%,15,675,116,5220,0%,0%,0%,0%,0%,0,N,N
marijuana,Marijuana,0.032,1040,4,14%,2%,-10%,-0.4%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-30%,1,652,0%,0%,0,0,0,0,0%,0%,0%,0%,7%,0,Y,Y
drug_psy_blockade,Psy-block,0.011,4450,3,1%,3%,57%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-13%,5,1248,0%,0%,0,0,0,0,0%,0%,0%,0%,18%,0,Y,Y
stimpack,Improvised Stimpack,0.1,3000,2,1%,1%,0%,0%,60,5,5,3,3,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,12,7%,84%,0,0,0,0,0%,0%,0%,0%,0%,0,N,Y
drug_sleepingpills,Sleeping Pills,0.011,4200,3,30%,3%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,1248,0%,0%,0,0,0,0,0%,0%,0%,0%,6%,0,Y,Y
antirad_cystamine,Cystamine,0.05,1950,3,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-4%,1,400,0%,0%,0,0,0,0,0%,0%,25%,0%,0%,0,N,Y
antirad_kalium,Potassium Iodide,0.05,2340,4,3%,0%,0%,-2%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-35%,3,120,0%,0%,0,0,27,3240,0%,0%,0%,0%,0%,0,Y,Y
